,name,Largest cavity diameter (?),Pore limiting diameter (?),Largest free pore diameter (?),Density (cm^3/g),Accessible Surface Area (m^2/cm^3),Accessible Surface Area (m^2/g),Nonaccessible Surface Area (m^2/cm^3),Nonaccessible surface area (m^2/g),Accessible volume volume fraction,Accessible Volume (cm^3/g),Nonaccessible Volume (cm^3/g),Metal type,Has open metal site,Type of open metal,Extension,overlap with Free solvent remove COREMOF,from CSD database,public,Has disorder,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,,,,,,,,,,,,,,,,,,,,
3385,FUVDEH12_clean,6.7205,5.84346,6.7205,1.66278,490.525,295.002,0,0,0.372,0.223721,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3386,FUVDEH13_clean,6.5322,6.05224,6.5322,1.69182,540.534,319.498,0,0,0.3658,0.216217,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,FUVFUZ_clean,6.56118,5.97328,6.56118,1.8467,394.83,213.803,0,0,0.2718,0.147181,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,FUVGAG_clean,6.54806,5.98797,6.54806,1.86856,393.33,210.499,0,0,0.2642,0.141392,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389,FUVGAG01_clean,6.51649,5.95918,6.51649,1.88251,388.784,206.525,0,0,0.2612,0.138751,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,FUVGAG02_clean,6.44753,5.88333,6.44753,1.88939,387.159,204.912,0,0,0.2574,0.136235,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392,FUWFIO_clean,7.45171,4.92598,7.05573,1.06861,2012.96,1883.72,0,0,0.6538,0.611823,0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,FUWFOU_clean,7.24376,3.01418,6.99271,1.30015,0,0,1216.5,935.663,0.5528,0.425183,0,Cd,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,FUWFUA_clean,7.25313,6.2676,7.10214,1.05922,1980.57,1869.84,0,0,0.6472,0.611017,0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396,FUWQIZ_clean,11.3491,4.56532,11.34892,0.820083,2318.22,2826.81,0,0,0.6918,0.843573,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3398,FUWXOL_SL,4.76594,4.4337,4.74254,1.49774,1245.43,831.539,0,0,0.5154,0.344119,0,Zn,No, ,SL,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,FUWYAY_clean,4.00169,3.86741,4.00169,1.98354,581.815,293.322,0,0,0.4022,0.202769,0,Mn,Yes,Mn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,FUXCOS_clean,4.8198,4.16045,4.8198,1.4521,612.494,421.799,0,0,0.4284,0.295021,0,Ag,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3402,FUXXIH_clean,10.16266,8.68185,10.16266,0.899748,1582.07,1758.35,0,0,0.6434,0.715089,0,Ni,Yes,Ni,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3403,FUYCAE_clean,12.12006,7.41697,11.45114,0.805353,2038.6,2531.31,0,0,0.6952,0.863224,0,Co,Yes,Co,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404,FUYCAF_clean,4.03019,3.2193,4.01818,1.57717,0,0,1186.15,752.072,0.5154,0.326787,0.000126809,Fe,No, ,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3405,FUYCEJ_clean,4.90132,3.779,4.87424,0.834486,2400.21,2876.28,0.217355,0.260466,0.6646,0.796418,0,Ti,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,FUYCIN_clean,11.38543,11.12419,11.3774,0.437316,1877.39,4292.99,0,0,0.832,1.90251,0,V,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3408,FUYCUZ_clean,12.25879,7.14465,12.25879,0.924481,2184.45,2362.89,0,0,0.7496,0.810834,0,Zn,Yes,Zn,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3409,FUYKER_clean,6.42799,4.66248,6.41167,1.2058,1179.26,977.987,0,0,0.5038,0.417814,0,Mn,Yes,Mn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410,FUYYAA_clean,4.5706,2.50265,4.56535,1.84953,0,0,555.507,300.351,0.4074,0.220272,0,"Cu,Nd",Yes,Cu,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3411,FUYZAB_ion_b,5.21141,3.3233,5.07544,2.52362,430.151,170.45,0,0,0.3548,0.140592,0,"Mo,Mn",No, ,ion_b,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,FUZKAN_clean,5.06549,3.23595,5.05633,1.24948,0,0,587.605,470.28,0.477,0.38176,0,Ni,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,FUZPUN_clean,4.74703,3.54387,4.71052,1.02013,1169.51,1146.44,0,0,0.5838,0.572282,0,Ni,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3415,GABGOI_clean,6.19829,3.31833,6.1896,1.16905,1025.05,876.825,79.2829,67.8181,0.5256,0.449596,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3416,GABYUG_clean,8.28187,3.85233,8.28187,1.39429,1719.71,1233.39,0,0,0.5774,0.414117,0,Cd,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3417,GACBIY_clean,10.24471,5.50706,10.24368,0.92198,1952.79,2118.04,0.041585,0.045104,0.6674,0.723877,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418,GACBOE_clean,6.66763,4.36115,6.66763,1.04515,2329.85,2229.2,0,0,0.6722,0.64316,0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,GACPUX_clean,5.9525,3.77259,5.85811,1.02185,1638.86,1603.82,0,0,0.614,0.600871,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3420,GACQAE_clean,8.56972,8.26373,8.56972,0.874357,2020.35,2310.67,0,0,0.694,0.793726,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3422,GACVIS_clean,7.02111,6.32962,7.02111,1.11473,2097.73,1881.83,0,0,0.6286,0.563903,0,Ni,Yes,Ni,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3424,GACYER_clean,11.44273,8.46463,11.4041,0.752428,2161.9,2873.23,9.41673,12.5151,0.746,0.991457,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425,GADDOH_clean,8.41895,4.83802,8.38301,1.2132,1718.46,1416.47,0,0,0.6166,0.508243,0,La,Yes,La,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3426,GADFAV_clean,5.86066,4.67676,5.86066,1.79494,889.419,495.515,0,0,0.4512,0.251373,0,La,Yes,La,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427,GADHIF_clean,7.77769,3.11048,7.77769,0.999796,0,0,1268.25,1268.51,0.5618,0.561915,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,GADMAA_clean,8.30223,7.00364,8.30223,1.50475,1042.04,692.502,0,0,0.5772,0.383584,0,"Gd,Zn",Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,GADMAA01_clean,8.25017,6.95114,8.25017,1.49914,1053.4,702.671,0.37233,0.248363,0.576,0.38422,0,"Gd,Zn",Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3431,GADNUX_clean,15.43787,6.70397,14.77017,0.729552,2339.56,3206.84,0,0,0.7494,1.02721,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3432,GADRAH_clean,6.6659,5.14076,6.6659,1.16041,1633.36,1407.57,0,0,0.5642,0.486207,0,"Na,Co",Yes,"Na,Co",clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433,GAFBEX_clean,3.39789,2.57832,3.39682,1.90961,0,0,10.7989,5.65504,0.5018,0.262776,0,Nd,Yes,Nd,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3434,GAFGEC_clean,6.70517,3.42904,6.68311,1.37564,1797.55,1306.7,0,0,0.5494,0.399377,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3435,GAFROX_clean,10.38317,5.82029,10.02176,0.765244,2450.36,3202.06,0,0,0.7244,0.946626,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3436,GAFRUD_clean,10.59453,5.69918,10.59344,0.768776,2454.62,3192.89,0,0,0.7144,0.929269,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,GAGQAI_clean,15.6839,9.81587,15.64212,0.743275,1280.66,1723,458.409,616.743,0.721,0.970032,0,Fe,Yes,Fe,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3438,GAGSUF_clean,13.27563,13.09101,13.27563,1.53244,1385.3,903.983,0,0,0.652,0.425465,0,Th,Yes,Th,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3439,GAGTAM_clean,5.81126,3.29675,5.81126,1.65427,0,0,1337.82,808.707,0.5618,0.339606,0,Th,Yes,Th,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3440,GAGTEQ_clean,5.67831,3.39362,5.66081,1.64794,1405.83,853.08,0,0,0.5604,0.34006,0,Th,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441,GAGXAP_clean,5.16363,2.84619,5.16363,1.46138,0,0,455.429,311.643,0.487,0.333247,0,Ni,Yes,Ni,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442,GAGZEV_clean,28.66522,11.53771,28.66522,0.279149,1594.77,5712.98,0,0,0.8816,3.15817,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3444,GAHSEQ_clean,9.12806,8.89551,9.12806,1.04861,1169.01,1114.83,0,0,0.5662,0.539955,0,Pr,Yes,Pr,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,GAHWIX_clean,10.08038,7.17794,10.08038,0.589363,2617.83,4441.79,0,0,0.7728,1.31125,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446,GAHXUL_clean,5.28974,3.50395,5.28106,1.05699,1056.2,999.25,0,0,0.5634,0.533021,0,Ag,Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,GAJTOC_clean,4.47391,2.97124,4.46858,1.60963,0,0,468.056,290.786,0.4426,0.274971,0,Gd,Yes,Gd,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448,GAJTUI_clean,4.48784,3.0106,4.231,1.61335,0,0,477.83,296.173,0.4412,0.273469,0,Tb,Yes,Tb,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,GAJVAQ_clean,4.41782,2.95293,4.41208,1.65256,0,0,434.878,263.155,0.4614,0.279204,0,Er,Yes,Er,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,GAJVEU_charged,6.73207,4.73018,6.72863,1.06231,1487.78,1400.51,0,0,0.5704,0.536941,0,Zn,No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3451,GAJVIY_charged,5.63813,4.777,5.6237,1.03115,1429.11,1385.93,0,0,0.5626,0.545603,0,Zn,Yes,Zn,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3452,GAJYUN_clean,4.85568,4.28663,4.65881,1.5312,1091.56,712.879,0,0,0.5342,0.348877,0,Ce,Yes,Ce,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3453,GAJZAU_clean,4.80108,4.30234,4.80108,1.51624,1143.74,754.324,0,0,0.5456,0.359838,0,Pr,Yes,Pr,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,GAJZEY_clean,4.80464,4.28777,4.80464,1.53408,1142.39,744.678,0,0,0.5448,0.355132,0,Nd,Yes,Nd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3455,GAJZIC_clean,4.74189,4.18269,4.74189,1.58149,1144.61,723.756,0,0,0.5442,0.344106,0,Sm,Yes,Sm,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456,GAJZOI_clean,4.76043,4.22431,4.76043,1.6231,1140.51,702.673,0,0,0.5414,0.333559,0,Gd,Yes,Gd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457,GAJZUO_clean,4.67022,4.137,4.66388,1.35819,1115.52,821.33,0,0,0.5302,0.390373,0,Y,Yes,Y,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,GAKBAX_clean,4.75047,4.21764,4.75047,1.60269,1138.62,710.445,0,0,0.5414,0.337808,0,Eu,Yes,Eu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3459,GAKTET_clean,4.25974,3.36532,4.21424,1.27924,565.657,442.182,0.366367,0.286394,0.4394,0.343485,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461,GALCAZ_clean,7.51924,6.97754,7.50411,1.17363,1179.25,1004.78,0,0,0.5068,0.431822,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3463,GALFAB_clean,5.55868,3.43749,5.55868,1.2617,790.625,626.635,0,0,0.4566,0.361893,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3464,GALHOS_ion_b,10.40242,4.28813,10.40242,0.962357,1197.69,1244.54,67.8044,70.4566,0.5764,0.598946,0,In,No, ,ion_b,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3466,GALJAG_clean,7.13587,6.98688,7.13339,0.8258,2198.4,2662.15,0,0,0.6726,0.814482,0,In,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3468,GAMFEI_clean,7.53059,4.20216,7.34521,1.13363,1510.82,1332.73,0,0,0.5782,0.510042,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3470,GAMSOD_clean,4.58378,3.14009,4.58378,1.46841,0,0,716.037,487.628,0.4784,0.325795,0,Ag,Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3471,GAMTAQ_clean,4.9696,3.15514,4.71289,1.41721,0,0,787.133,555.409,0.5194,0.366494,0,La,Yes,La,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3472,GAMTEU_clean,4.96917,3.20315,4.96917,1.42337,0,0,741.895,521.226,0.5212,0.366174,0,Ce,Yes,Ce,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3473,GAMTIY_clean,4.94228,3.13094,4.94228,1.44018,0,0,724.278,502.908,0.5186,0.360094,0,Pr,Yes,Pr,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3474,GAMTOE_clean,3.76788,2.77728,3.76788,1.82545,0,0,78.4239,42.9614,0.4068,0.222849,0,La,Yes,La,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3475,GAMTUK_clean,3.76828,2.72919,3.76828,1.81146,0,0,68.654,37.8997,0.4046,0.223355,0,Ce,Yes,Ce,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3476,GAMVAS_clean,3.72131,2.69973,3.70726,1.82538,0,0,52.4368,28.7265,0.3938,0.215736,0,Pr,Yes,Pr,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3477,GAMXAV_clean,12.82817,4.31562,12.82817,0.868866,1783.25,2052.39,0,0,0.6754,0.777335,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3480,GANBAZ_clean,5.94353,4.52828,5.85748,1.27209,1425.13,1120.3,410.616,322.787,0.6514,0.51207,0,Mn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478,GANBAZ01_clean,5.75558,4.5162,5.6542,1.29703,1401.71,1080.7,398.599,307.315,0.6488,0.500218,0,Mn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3479,GANBAZ02_clean,5.94516,4.40671,5.62899,1.06833,1884.21,1763.7,0,0,0.666,0.623402,0,Mn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3483,GANBED_clean,6.15693,4.36932,6.15693,0.928453,2162.5,2329.14,0,0,0.6738,0.725723,0,Ni,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3481,GANBED01_clean,5.7155,2.63943,5.7155,1.35513,0,0,784.727,579.079,0.462,0.340927,0,Ni,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3482,GANBED02_clean,5.89181,5.00048,5.83979,0.915211,2178.2,2379.99,0,0,0.6786,0.741468,0,Ni,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3484,GANBIH_clean,7.19995,5.0012,7.19632,1.06228,1292.17,1216.41,0,0,0.5366,0.505138,0,Mn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3485,GAPDEH_clean,4.06996,3.18947,4.05011,1.59955,0,0,291.616,182.312,0.3496,0.218561,0,"Cd,K",Yes,"Cd,K",clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3486,GAPDUX_clean,4.39272,3.14854,4.18817,1.64307,0,0,465.773,283.478,0.4746,0.28885,0,"Cu,Na",Yes,"Cu,Na",clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488,GAPNOD_clean,6.6565,4.84778,6.65444,1.74449,1900.25,1089.29,0,0,0.644,0.369162,0,U,Yes,U,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3489,GAQKOB_clean,4.0449,2.86519,4.0449,1.34541,0,0,376.339,279.721,0.449,0.333727,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3490,GAQYIH_clean,20.25844,8.96976,15.7736,0.559917,2127.26,3799.24,0,0,0.8486,1.51558,0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491,GARLAP_clean,5.58892,4.38006,5.58663,1.1363,1527.33,1344.12,0,0,0.5756,0.506555,0,La,Yes,La,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3492,GARLET_clean,5.53835,4.38226,5.51111,1.15379,1524.15,1321,0,0,0.573,0.496625,0,Pr,Yes,Pr,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3493,GARLIX_clean,5.51894,4.34952,5.51894,1.16479,1506.37,1293.26,0,0,0.5712,0.49039,0,Nd,Yes,Nd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3494,GARLOD_clean,5.48563,4.3317,5.48563,1.18591,1487.56,1254.36,0,0,0.5682,0.479126,0,Sm,Yes,Sm,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3495,GARLUJ_clean,5.47258,4.30508,5.46713,1.19194,1490.51,1250.49,0,0,0.5688,0.477205,0,Eu,Yes,Eu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3496,GARMAQ_clean,5.4678,4.29561,5.44556,1.2061,1479.57,1226.74,0,0,0.5666,0.469779,0,Gd,Yes,Gd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3497,GARPAR_clean,4.88792,3.20385,4.88792,1.2842,0,0,895.178,697.072,0.5266,0.410062,0,Ag,Yes,Ag,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3498,GARQAU_clean,7.22233,4.73121,7.22233,1.05141,1110.85,1056.54,0,0,0.5324,0.50637,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,GARSUQ_clean,4.38052,3.88796,4.36788,1.61033,1121.78,696.613,0,0,0.4852,0.301304,0,Eu,Yes,Eu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3502,GARTAX_clean,4.45838,3.94557,4.41836,1.61624,1125.98,696.667,0,0,0.4868,0.301193,0,Gd,Yes,Gd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3503,GARTEB_clean,4.30272,3.79858,4.29463,1.63832,1104.37,674.089,0,0,0.4846,0.295792,0,Tb,Yes,Tb,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,GARTIF_clean,4.43647,3.87557,4.43647,1.65372,1132.95,685.091,0,0,0.471,0.284812,0,Dy,Yes,Dy,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505,GARTUR_clean,11.12255,10.84777,11.12255,1.34756,1641,1217.75,0,0,0.6774,0.502685,0,"Zn,Ga",Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507,GASSEB_clean,5.64924,4.02494,5.64854,0.918331,1776.39,1934.36,0,0,0.633,0.689294,0,Zn,Yes,Zn,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3508,GASSUR_clean,7.13166,6.36797,7.11779,1.0643,1692.45,1590.2,0,0,0.616,0.578785,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3509,GASTIG_clean,5.0819,3.79248,5.0819,1.32659,966.447,728.518,0,0,0.4748,0.357909,0,Mn,Yes,Mn,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510,GATBUZ_charged,6.90621,5.13941,6.90042,1.10396,1265.08,1145.95,0,0,0.542,0.490962,0,Zn,Yes,Zn,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3511,GATHAL_clean,3.98213,3.00882,3.94649,1.23575,0,0,161.377,130.59,0.4966,0.401862,0,Sc,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3512,GATJIV_charged,12.96226,9.06013,12.96226,0.970833,859.66,885.487,164.952,169.908,0.5716,0.588772,0,Cd,No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3513,GATQIE_clean,8.12277,6.57853,7.8081,0.814422,2692.15,3305.6,0,0,0.7176,0.881116,0.000491146,Zr,Yes,Zr,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514,GATQOK_clean,8.0398,4.43833,8.0398,1.04873,1982.28,1890.18,0,0,0.641,0.611218,0.000572123,Zr,Yes,Zr,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515,GATSAY_clean,8.6533,2.96296,8.5248,0.987614,0,0,1369.82,1387,0.565,0.572086,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3516,GAVYAG_clean,5.30344,3.91416,5.17667,1.18769,1076.26,906.183,0,0,0.5266,0.443383,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3517,GAWBEM_clean,3.68052,2.72795,3.64437,1.6386,0,0,140.473,85.7274,0.4524,0.27609,0,"Mo,Cu",Yes,"Mo,Cu",clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3518,GAWCUF_clean,5.14591,3.62459,5.10569,1.20211,1101.2,916.058,0,0,0.5036,0.418931,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3519,GAWJEV_clean,4.86365,3.38284,4.68994,1.47981,769.11,519.734,0,0,0.5,0.337881,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3520,GAWKAS_clean,4.05499,3.17479,3.92137,2.32581,0,0,75.1533,32.3127,0.3806,0.163642,0,"Cu,Sm",Yes,"Cu,Sm",clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3521,GAWKEW_clean,5.75147,3.14287,5.66213,3.75396,0,0,728.361,194.025,0.474,0.126267,0,"W,Cu",Yes,"W,Cu",clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3522,GAWLIB_clean,7.30469,6.9637,7.3003,1.77656,565.048,318.057,10.6196,5.97759,0.4542,0.255662,0,Tb,Yes,Tb,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3523,GAWMAU_clean,3.78954,2.70818,3.78954,1.56228,0,0,151.632,97.0584,0.4554,0.291497,0,Cu,Yes,Cu,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3524,GAWMOI_clean,4.49519,2.62342,4.3428,1.8682,0,0,326.777,174.916,0.4266,0.228348,0,Tb,Yes,Tb,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3525,GAWMOJ_clean,9.85959,7.82076,9.85959,0.707147,2014.24,2848.41,0,0,0.7242,1.02411,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
