,name,Largest cavity diameter (?),Pore limiting diameter (?),Largest free pore diameter (?),Density (cm^3/g),Accessible Surface Area (m^2/cm^3),Accessible Surface Area (m^2/g),Nonaccessible Surface Area (m^2/cm^3),Nonaccessible surface area (m^2/g),Accessible volume volume fraction,Accessible Volume (cm^3/g),Nonaccessible Volume (cm^3/g),Metal type,Has open metal site,Type of open metal,Extension,overlap with Free solvent remove COREMOF,from CSD database,public,Has disorder,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,,,,,,,,,,,,,,,,,,,,
290,APEBII_clean,10.32114,3.69719,10.3209,1.22342,1765.75,1443.28,0,0,0.6248,0.510698,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,APEBOO_clean,10.56651,4.16012,10.56651,1.24771,1971.26,1579.91,0,0,0.6524,0.52288,0,Zn,Yes,Zn,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,APEBUU_clean,4.93858,3.80274,4.91529,1.49581,927,619.731,0,0,0.4876,0.325977,0,Cd,Yes,Cd,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,APETAS_clean,3.70433,2.76055,3.70433,1.99384,0,0,131.934,66.1705,0.4318,0.216567,0,Cd,Yes,Cd,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,APUPEH_clean,24.7893,14.09199,24.7893,0.298214,1535.12,5147.71,0,0,0.8874,2.97572,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,AQAJEI_clean,6.90366,2.45763,6.89498,1.10723,0,0,1120.37,1011.87,0.5492,0.496013,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,AQALIO_clean,3.6362,2.83608,3.61709,2.20004,0,0,130.15,59.1582,0.4758,0.216269,0,"Sr,Eu",Yes,"Sr,Eu",clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,AQALOU_clean,3.62112,2.83349,3.59255,2.24292,0,0,101.636,45.314,0.4706,0.209816,0,"Sr,Gd",Yes,"Sr,Gd",clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,AQEFOS_clean,8.68225,2.76851,8.68064,1.96074,0,0,799.798,407.907,0.5044,0.25725,0,"Mo,Cu",Yes,"Mo,Cu",clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,AQEFUY_clean,8.95844,2.64235,8.90621,1.21964,0,0,1337.97,1097.02,0.631,0.517366,0,Ag,Yes,Ag,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
