,cif_id,accessible_surface_area
54,acs+N481+E36,5089.82373046875
55,acs+N125+E4,5299.64990234375
56,acs+N481+E121,5315.27490234375
57,acs+N198+E22,5357.6865234375
58,acs+N198+E59,5464.83203125
59,acs+N628+E28,5306.34619140625
60,acs+N198+E7,5364.38330078125
61,acs+N489+E1,5223.7548828125
62,acs+N553+E28,5674.658203125
63,acs+N553+E39,5862.162109375
64,acs+N481+E229,5634.478515625
65,acs+N628+E4,4857.67578125
66,acs+N198+E121,5359.9189453125
67,acs+N489+E22,5208.1298828125
68,acs+N125+E229,4817.49609375
69,acs+N489+E9,5525.10107421875
70,acs+N553+E10,6112.16796875
71,acs+N628+E194,5464.83203125
72,acs+N574+E33,5424.65234375
73,acs+N574+E121,5545.19091796875
74,acs+N628+E7,5353.22216796875
75,acs+N574+E229,5440.27783203125
76,acs+N574+E225,5359.9189453125
77,acs+N489+E7,5420.18798828125
78,acs+N125+E1,5194.73681640625
79,acs+N198+E194,5592.06689453125
80,acs+N125+E28,5326.43603515625
81,acs+N125+E225,5234.916015625
82,acs+N198+E10,6071.98828125
83,acs+N198+E39,6036.2734375
84,acs+N553+E229,5866.62646484375
85,acs+N198+E225,5272.86328125
86,acs+N628+E9,5580.90576171875
87,acs+N574+E1,5152.3251953125
88,acs+N125+E121,5426.884765625
89,acs+N553+E194,5683.5869140625
90,acs+N489+E28,5257.23779296875
91,acs+N198+E36,5359.9189453125
92,acs+N553+E33,5679.12255859375
93,acs+N489+E33,5422.42041015625
94,acs+N628+E59,5087.59130859375
95,acs+N628+E229,5826.447265625
96,acs+N489+E36,5085.359375
97,acs+N481+E1,5531.7978515625
98,acs+N198+E229,5313.04296875
99,acs+N198+E9,5853.2333984375
100,acs+N125+E9,5355.45458984375
0,rtl+N535+N590,6031.80859375
1,rtl+N535+N521,6156.8115234375
2,rtl+N535+N283,5880.01953125
3,rtl+N535+N250,5540.7265625
4,rtl+N535+N668,6080.9169921875
5,rtl+N535+N486,5560.81640625
6,rtl+N535+N453,5612.15673828125
7,rtl+N535+N214,6022.8798828125
8,rtl+N535+N146,5161.25390625
9,rtl+N535+N598,6277.35009765625
10,rtl+N535+N593,6094.31005859375
11,rtl+N535+N289,5683.5869140625
12,rtl+N535+N392,6375.56640625
13,rtl+N535+N105,5592.06689453125
14,rtl+N535+N491,5442.509765625
15,rtl+N535+N148,6036.2734375
16,rtl+N535+N336,6013.951171875
17,rtl+N535+N16,6112.16796875
18,rtl+N535+N311,5609.92431640625
19,rtl+N535+N483,6326.4580078125
20,rtl+N535+N65,5498.31494140625
21,rtl+N535+N341,5821.98291015625
22,rtl+N535+N162,6013.951171875
23,rtl+N535+N447,5813.0537109375
24,rtl+N535+N205,5741.6240234375
25,rtl+N535+N518,5647.87158203125
26,rtl+N535+N680,6183.59814453125
27,rtl+N535+N555,5551.88720703125
28,rtl+N535+N480,5915.73486328125
29,rtl+N535+N33,5605.4599609375
30,rtl+N535+N309,5440.27783203125
31,rtl+N535+N569,5946.9853515625
32,rtl+N535+N324,5308.57861328125
33,rtl+N535+N457,5982.70068359375
34,rtl+N535+N630,5705.90869140625
35,rtl+N535+N696,5978.236328125
36,rtl+N535+N366,5600.99560546875
37,rtl+N535+N508,6076.45263671875
38,rtl+N535+N442,5373.31201171875
39,rtl+N535+N529,5525.10107421875
40,rtl+N535+N135,5808.58935546875
41,rtl+N535+N465,5862.162109375
42,rtl+N535+N213,6321.99365234375
0,cds+N259+E32,5781.80322265625
1,cds+N500+E194,5458.13525390625
2,cds+N365+E194,5656.80029296875
3,cds+N512+E194,5368.84765625
4,cds+N194+E193,5821.98291015625
5,cds+N174+E211,4114.35546875
6,cds+N365+E27,4424.63037109375
7,cds+N194+E194,5297.41748046875
8,cds+N500+E211,4353.2001953125
9,cds+N292+E194,5417.9560546875
10,cds+N409+E194,5623.3173828125
11,cds+N654+E224,5482.689453125
12,cds+N654+E112,5627.78173828125
13,cds+N551+E193,5790.73193359375
14,cds+N464+E112,5688.05126953125
15,cds+N193+E211,4478.203125
16,cds+N112+E193,5549.6552734375
17,cds+N112+E112,5520.63671875
18,cds+N335+E174,5480.45703125
19,cds+N292+E193,5688.05126953125
20,cds+N464+E194,5223.7548828125
21,cds+N500+E112,5069.73388671875
22,cds+N193+E194,5585.3701171875
23,cds+N259+E193,5560.81640625
24,cds+N551+E112,5605.4599609375
0,srs+N611+E108,5880.01953125
1,srs+N611+E119,5763.94580078125
2,srs+N611+E212,5933.59228515625
3,srs+N611+E48,6009.48681640625
4,srs+N611+E19,5951.44970703125
5,srs+N611+E14,5987.1650390625
6,srs+N611+E146,5996.09375
7,srs+N611+E72,6022.8798828125
8,srs+N611+E130,5938.056640625
9,srs+N611+E16,6071.98828125
10,srs+N611+E8,5772.87451171875
11,srs+N611+E138,6013.951171875
12,srs+N285+E172,5960.37841796875
13,srs+N611+E66,5839.84033203125
14,srs+N611+E67,5915.73486328125
15,srs+N611+E149,5911.2705078125
16,srs+N611+E45,5813.0537109375
17,srs+N611+E159,5728.23046875
18,srs+N611+E11,5750.552734375
19,srs+N611+E221,5705.90869140625
20,srs+N611+E128,6076.45263671875
21,srs+N611+E85,5969.3076171875
22,srs+N611+E205,5688.05126953125
23,srs+N611+E18,5848.76904296875
24,srs+N611+E81,5853.2333984375
25,srs+N611+E186,5942.52099609375
26,srs+N611+E204,5808.58935546875
27,srs+N611+E166,5996.09375
28,srs+N611+E52,5906.80615234375
29,srs+N611+E167,5924.66357421875
30,srs+N285+E105,5652.3359375
31,srs+N611+E151,5946.9853515625
32,srs+N611+E173,5853.2333984375
33,srs+N611+E226,5821.98291015625
34,srs+N611+E201,5853.2333984375
35,srs+N611+E132,6000.55810546875
36,srs+N611+E139,5978.236328125
37,srs+N611+E180,5853.2333984375
38,srs+N611+E160,5911.2705078125
39,srs+N611+E206,5795.1962890625
40,srs+N611+E220,5951.44970703125
41,srs+N611+E168,5978.236328125
42,srs+N611+E71,5920.19921875
43,srs+N611+E27,5915.73486328125
44,srs+N611+E58,5978.236328125
45,srs+N611+E216,5982.70068359375
46,srs+N611+E188,5679.12255859375
47,srs+N611+E37,5964.84326171875
48,srs+N611+E50,5996.09375
49,srs+N611+E182,5955.9140625
50,srs+N611+E175,5924.66357421875
0,ths+N411+E128,5516.17236328125
1,ths+N411+E27,5813.0537109375
2,ths+N411+E44,5813.0537109375
3,ths+N411+E175,5192.50439453125
4,ths+N606+E168,5132.2353515625
5,ths+N606+E216,5250.54150390625
6,ths+N411+E132,5531.7978515625
7,ths+N606+E132,5201.43310546875
8,ths+N411+E182,4911.24853515625
9,ths+N411+E216,5638.94287109375
10,ths+N606+E162,4763.923828125
11,ths+N606+E27,5417.9560546875
12,ths+N411+E146,5368.84765625
13,ths+N606+E108,5208.1298828125
14,ths+N411+E162,5201.43310546875
15,ths+N606+E15,5292.953125
16,ths+N606+E13,5308.57861328125
17,ths+N411+E108,5317.50732421875
18,ths+N606+E175,5127.77099609375
19,ths+N606+E95,4996.07177734375
20,ths+N411+E168,5489.38623046875
21,ths+N606+E128,5145.62841796875
22,ths+N606+E44,5446.974609375
23,ths+N606+E182,4815.26416015625
24,ths+N606+E146,5212.59423828125
0,bcu+N672+E229,5884.48388671875
1,bcu+N672+E10,6156.8115234375
2,bcu+N293+E59,5946.9853515625
3,bcu+N189+E223,4864.3720703125
4,bcu+N204+E59,5165.71826171875
5,bcu+N656+E59,5100.98486328125
6,bcu+N281+E39,5893.4130859375
7,bcu+N372+E229,4661.24267578125
